,Unnamed: 0,country,year,population,gdp per capita nominal,gdp per capita ppp,iso_code,GNI,predicted_renewables_consumption
151,151,Ireland,2024,5255017,103500.385,127750.161,IRL,,24.516740000000016
152,152,Ireland,2023,5196630,103465.935,126991.82,IRL,,24.516740000000016
153,153,Israel,2024,9387021,53110.949,54446.208,ISR,,4.760889999999996
154,154,Israel,2023,9256314,52643.451,53810.401,ISR,,4.721639999999996
155,155,Italy,2024,59342867,40286.836,60992.864,ITA,,289.56627999999995
156,156,Italy,2023,59499453,39012.076,59164.515,ITA,,291.0828899999999
157,157,Jamaica,2024,2839175,7486.621,12283.257,JAM,,0.0
158,158,Jamaica,2023,2839786,7032.24,11856.177,JAM,,0.0
159,159,Japan,2024,123753041,32859.112,53059.36,JPN,,356.39516999999995
160,160,Japan,2023,124370947,33898.99,51399.027,JPN,,362.25497999999993
161,161,Jordan,2024,11552876,4682.081,10916.507,JOR,,0.0
162,162,Jordan,2023,11439213,4488.417,10455.864,JOR,,0.0
163,163,Kazakhstan,2024,20592571,14569.9,41366.311,KAZ,,23.331229999999987
164,164,Kazakhstan,2023,20330104,13260.898,39463.307,KAZ,,22.60561999999999
165,165,Kenya,2024,56432944,2218.025,7157.32,KEN,,3.4833399999999997
166,166,Kenya,2023,55339003,2110.0,6772.284,KEN,,1.6672200000000001
167,167,Kiribati,2024,134518,2455.051,3611.797,KIR,,0.0
168,168,Kiribati,2023,132530,2230.805,3386.612,KIR,,0.0
169,169,Kuwait,2024,4934507,32289.977,49736.258,KWT,,1.7302499999999998
170,170,Kuwait,2023,4838782,33321.28,50933.256,KWT,,2.02273
171,171,Kyrgyzstan,2024,7186009,2228.777,7772.556,KGZ,,0.0
172,172,Kyrgyzstan,2023,7073516,2018.911,7279.263,KGZ,,0.0
173,173,Latvia,2024,1871871,24222.809,43526.926,LVA,,11.880149999999988
174,174,Latvia,2023,1882396,23175.505,41938.071,LVA,,12.25576999999999
175,175,Lebanon,2023,5773493,4486.987,12453.967,LBN,,0.0
176,176,Lesotho,2024,2337423,1061.813,3260.421,LSO,,0.0
177,177,Lesotho,2023,2311472,1034.246,3135.253,LSO,1250.0,0.0
178,178,Liberia,2024,5612817,855.186,1902.323,LBR,,0.0
179,179,Liberia,2023,5493031,808.259,1810.556,LBR,710.0,0.0
180,180,Libya,2024,7381023,6482.099,15350.964,LBY,,0.0
181,181,Libya,2023,7305659,6422.118,14781.326,LBY,5940.0,0.0
182,182,Lithuania,2024,2859110,28712.702,53623.635,LTU,,7.070490000000006
183,183,Lithuania,2023,2854099,26997.801,51129.222,LTU,25080.0,7.147030000000005
